INIT 1 0 0 X
WRITE 0 1 0 h
WRITE 0 1 0 x
READ 0 1 0 x
READ 0 1 0 x
WRITE 0 1 1 P
READ 0 1 0 x
READ 0 1 0 x
WRITE 0 1 0 h
WRITE 0 1 0 c
READ 0 1 1 P
READ 0 1 0 c
WRITE 0 1 1 w
READ 0 1 0 c
READ 0 1 1 w
READ 0 1 1 w
WRITE 0 1 0 p
READ 0 1 1 w
WRITE 0 1 2 Z
WRITE 0 1 0 N
READ 0 1 0 N
READ 0 1 0 N
READ 0 1 1 w
READ 0 1 1 w
READ 0 1 1 w
READ 0 1 0 N
WRITE 0 1 1 3
READ 0 1 0 N
READ 0 1 1 3
READ 0 1 2 Z
WRITE 0 1 0 2
READ 0 1 1 3
READ 0 1 0 2
READ 0 1 2 Z
WRITE 0 1 0 i
READ 0 1 0 i
WRITE 0 1 1 4
WRITE 0 1 1 r
READ 0 1 2 Z
WRITE 0 1 3 n
READ 0 1 2 Z
READ 0 1 3 n
READ 0 1 3 n
READ 0 1 3 n
READ 0 1 1 r
WRITE 0 1 4 x
WRITE 0 1 3 t
WRITE 0 1 1 H
WRITE 0 1 2 s
WRITE 0 1 2 f
WRITE 0 1 5 L
WRITE 0 1 0 I
READ 0 1 0 I
READ 0 1 4 x
WRITE 0 1 3 g
READ 0 1 2 f
READ 0 1 4 x
READ 0 1 0 I
READ 0 1 3 g
READ 0 1 3 g
WRITE 0 1 1 t
WRITE 0 1 4 T
READ 0 1 1 t
WRITE 0 1 0 N
WRITE 0 1 0 D
READ 0 1 5 L
WRITE 0 1 2 3
WRITE 0 1 1 z
READ 0 1 0 D
WRITE 0 1 3 h
WRITE 0 1 0 z
WRITE 0 1 3 b
WRITE 0 1 3 X
WRITE 0 1 2 h
WRITE 0 1 1 T
READ 0 1 3 X
WRITE 0 1 3 l
WRITE 0 1 4 k
WRITE 0 1 0 V
WRITE 0 1 0 8
WRITE 0 1 5 h
READ 0 1 2 h
WRITE 0 1 0 i
WRITE 0 1 2 B
WRITE 0 1 4 H
WRITE 0 1 1 p
WRITE 0 1 6 8
READ 0 1 2 B
WRITE 0 1 5 6
READ 0 1 5 6
READ 0 1 2 B
READ 0 1 0 i
WRITE 0 1 7 i
READ 0 1 2 B
READ 0 1 4 H
WRITE 0 1 4 m
WRITE 0 1 2 o
WRITE 0 1 2 N
WRITE 0 1 6 s
READ 0 1 2 N
READ 0 1 7 i
READ 0 1 6 s
READ 0 1 5 6
WRITE 0 1 5 Y
WRITE 0 1 5 T
WRITE 0 1 3 u
WRITE 0 1 7 R
READ 0 1 2 N
WRITE 0 1 1 B
WRITE 0 1 8 h
