INIT 1 0 0 X
WRITE 0 1 0 q
WRITE 0 1 1 n
READ 0 1 1 n
READ 0 1 1 n
READ 0 1 0 q
READ 0 1 0 q
WRITE 0 1 1 O
READ 0 1 0 q
WRITE 0 1 2 S
WRITE 0 1 1 R
WRITE 0 1 1 9
WRITE 0 1 2 o
READ 0 1 1 9
READ 0 1 2 o
READ 0 1 0 q
READ 0 1 2 o
READ 0 1 1 9
READ 0 1 1 9
WRITE 0 1 0 g
READ 0 1 2 o
WRITE 0 1 2 Y
WRITE 0 1 0 2
WRITE 0 1 1 6
READ 0 1 2 Y
WRITE 0 1 0 n
WRITE 0 1 0 2
WRITE 0 1 3 A
WRITE 0 1 3 S
WRITE 0 1 1 D
WRITE 0 1 1 m
READ 0 1 3 S
READ 0 1 3 S
WRITE 0 1 1 F
WRITE 0 1 3 o
READ 0 1 2 Y
WRITE 0 1 0 W
WRITE 0 1 1 f
WRITE 0 1 1 P
WRITE 0 1 4 i
READ 0 1 0 W
WRITE 0 1 2 u
READ 0 1 4 i
WRITE 0 1 2 V
READ 0 1 3 o
WRITE 0 1 0 E
WRITE 0 1 1 g
WRITE 0 1 3 U
READ 0 1 3 U
READ 0 1 4 i
WRITE 0 1 4 O
READ 0 1 3 U
WRITE 0 1 5 0
READ 0 1 4 O
WRITE 0 1 5 O
READ 0 1 1 g
WRITE 0 1 0 9
READ 0 1 3 U
READ 0 1 4 O
READ 0 1 3 U
WRITE 0 1 2 t
WRITE 0 1 1 C
WRITE 0 1 1 T
READ 0 1 4 O
WRITE 0 1 6 y
WRITE 0 1 3 v
WRITE 0 1 6 z
WRITE 0 1 0 w
READ 0 1 3 v
READ 0 1 3 v
READ 0 1 3 v
READ 0 1 2 t
READ 0 1 0 w
READ 0 1 6 z
WRITE 0 1 2 1
WRITE 0 1 3 n
READ 0 1 6 z
READ 0 1 2 1
WRITE 0 1 1 v
WRITE 0 1 7 B
READ 0 1 1 v
WRITE 0 1 4 a
READ 0 1 7 B
WRITE 0 1 2 z
WRITE 0 1 1 v
READ 0 1 1 v
WRITE 0 1 5 p
READ 0 1 5 p
WRITE 0 1 6 l
READ 0 1 1 v
WRITE 0 1 0 b
WRITE 0 1 6 V
READ 0 1 6 V
WRITE 0 1 3 Z
READ 0 1 7 B
WRITE 0 1 6 X
WRITE 0 1 8 K
WRITE 0 1 6 L
WRITE 0 1 9 r
WRITE 0 1 9 J
READ 0 1 5 p
WRITE 0 1 4 O
WRITE 0 1 8 b
READ 0 1 8 b
READ 0 1 9 J
READ 0 1 5 p
READ 0 1 3 Z
WRITE 0 1 3 B
WRITE 0 1 8 j
WRITE 0 1 1 J
READ 0 1 3 B
WRITE 0 1 9 K
WRITE 0 1 8 a
WRITE 0 1 8 o
WRITE 0 1 5 s
WRITE 0 1 5 s
WRITE 0 1 6 D
WRITE 0 1 4 i
WRITE 0 1 9 2
READ 0 1 6 D
READ 0 1 0 b
READ 0 1 3 B
WRITE 0 1 2 J
WRITE 0 1 7 q
WRITE 0 1 5 8
WRITE 0 1 9 8
WRITE 0 1 4 C
WRITE 0 1 6 k
READ 0 1 5 8
READ 0 1 5 8
READ 0 1 7 q
WRITE 0 1 9 r
WRITE 0 1 4 W
READ 0 1 1 J
READ 0 1 0 b
WRITE 0 1 9 V
WRITE 0 1 3 y
READ 0 1 9 V
WRITE 0 1 8 a
WRITE 0 1 0 7
WRITE 0 1 10 t
READ 0 1 9 V
READ 0 1 9 V
